Counting cache functions... Output every 1 seconds.
    HITS   MISSES  DIRTIES    RATIO   BUFFERS_MB   CACHE_MB
    1323        0        1   100.0%           60        334
    1341        0        0   100.0%           60        334
    1315        0        0   100.0%           60        334
    1322        0        0   100.0%           60        334
    1318        0        0   100.0%           60        334
    1316        0        0   100.0%           60        334
    1798        0        0   100.0%           60        334
    1815        0        0   100.0%           60        334
    1321        0        0   100.0%           60        334
    1843        0        0   100.0%           60        334
    1842        0        0   100.0%           60        334
    1803        0        0   100.0%           60        334
    1343        0        0   100.0%           60        334
    1315        0        0   100.0%           60        334
    1339        0        0   100.0%           60        334
    1822        0        0   100.0%           60        334
    1315        0        0   100.0%           60        334
    1845        0        0   100.0%           60        334
    1845        0        0   100.0%           60        334
    1856        0        5   100.0%           60        334
    1846        0        1   100.0%           60        334
    1821        0        1   100.0%           60        334
    1831        0        2   100.0%           60        334
    1328        0        2   100.0%           60        334
    1822        0       10   100.0%           60        334
    1334        0        2   100.0%           60        334
    1822        0        2   100.0%           60        334
    1843        0        2   100.0%           60        334
    1357        0        2   100.0%           60        334
    1351        1        7    99.9%           60        334
    1348        0        2   100.0%           60        334
    1346        0        2   100.0%           60        334
    1846        0        2   100.0%           60        334
    1819        0        1   100.0%           60        334
    1350        0        0   100.0%           60        334
    1840        0        0   100.0%           60        334
    1845        0        0   100.0%           60        334
    1822        0        0   100.0%           60        334
    1802        0        0   100.0%           60        334
    1320        0        0   100.0%           60        334
    1348        0        0   100.0%           60        334
    1842        0        0   100.0%           60        334
    1345        0        0   100.0%           60        334
    1847        0        0   100.0%           60        334
    1343        0        0   100.0%           60        334
    1320        0        0   100.0%           60        334
    1848        0        0   100.0%           60        334
    1316        0        0   100.0%           60        334
    1802        0        0   100.0%           60        334
    1847        0        0   100.0%           60        334
    1342        0        4   100.0%           60        334
    1316        0        0   100.0%           60        334
    1831        0        1   100.0%           60        334
    1348        0        2   100.0%           60        334
    1847        0        2   100.0%           60        334
    1842        2        4    99.9%           60        334
    1823        0        2   100.0%           60        334
    1322        0        2   100.0%           60        334
    1855        0        2   100.0%           60        334
    1326        0        2   100.0%           60        334
    1806        2        4    99.9%           60        334
    1832        0        2   100.0%           60        334
    1329        0        2   100.0%           60        334
    1844        0        2   100.0%           60        334
    1415        0        1   100.0%           60        334
    1847        0        1   100.0%           60        334
    1843        0        0   100.0%           60        334
    1551        0        0   100.0%           60        334
    1803        0        0   100.0%           60        334
    1820        0        0   100.0%           60        334
    1823        0        0   100.0%           60        334
    1320        0        0   100.0%           60        334
    1315        0        0   100.0%           60        334
    1817        0        0   100.0%           60        334
    1821        0        0   100.0%           60        334
    1340        0        0   100.0%           60        334
    1822        0        0   100.0%           60        334
    1318        0        0   100.0%           60        334
    1341        0        0   100.0%           60        334
    1344        0        0   100.0%           60        334
    1843        0        0   100.0%           60        334
    1313        0        5   100.0%           60        334
    1801        0        0   100.0%           60        334
    1848        0        1   100.0%           60        334
    1753        0        1   100.0%           60        334
    1329        0        2   100.0%           60        334
    1349        0        7   100.0%           60        334
    1350        0        2   100.0%           60        334
    1347        0        2   100.0%           60        334
    1330        0        2   100.0%           60        334
    1346        0        2   100.0%           60        334
    1346        2        4    99.9%           60        334
    1836        0        2   100.0%           60        334
    1824        0        2   100.0%           60        334
    1308        0        2   100.0%           60        334
    1353        0        2   100.0%           60        334
    1845        0        2   100.0%           60        334
    1846        0        1   100.0%           60        334
    1328        0        0   100.0%           60        334
    1315        0        0   100.0%           60        334
    1803        0        0   100.0%           60        334
    1350        0        0   100.0%           60        334
    1322        0        0   100.0%           60        334
    1316        0        0   100.0%           60        334
    1322        0        0   100.0%           60        334
    1318        0        0   100.0%           60        334
    1407        0        0   100.0%           60        334
    1850        0        0   100.0%           60        334
    1840        0        0   100.0%           60        334
    1316        0        0   100.0%           60        334
    1830        0        0   100.0%           60        334
    1845        0        0   100.0%           60        334
    1342        0        2   100.0%           60        334
    1848        0        0   100.0%           60        334
    1345        0        0   100.0%           60        334
    1818        0        0   100.0%           60        334
    1349        0        0   100.0%           60        334
    1805        0        3   100.0%           60        334
    1351        0        2   100.0%           60        334
    1357        0        2   100.0%           60        334
    1308        0        2   100.0%           60        334
    1326        0        2   100.0%           60        334
    1844        2        4    99.9%           60        334
    1801        0        2   100.0%           60        334
    1825        0        2   100.0%           60        334
    1835        0        2   100.0%           60        334
    1822        0        2   100.0%           60        334
    1838        2        3    99.9%           60        334
    1331        0        1   100.0%           60        334
    1802        0        0   100.0%           60        334
    1336        0        0   100.0%           60        334
    1322        0        0   100.0%           60        334
    1323        0        0   100.0%           60        334
    1839        0        0   100.0%           60        334
    1845        0        0   100.0%           60        334
    1802        0        0   100.0%           60        334
    1796        0        0   100.0%           60        334
    1320        0        0   100.0%           60        334
    1837        0        0   100.0%           60        334
    1815        0        0   100.0%           60        334
    1320        0        0   100.0%           60        334
    1816        0        0   100.0%           60        334
    1343        0        0   100.0%           60        334
    1844        0        0   100.0%           60        334
    2953        0        3   100.0%           60        334
    1840        0        0   100.0%           60        334
